"trip.Combined"	"tripTime.mu"	"tripTime.md"	"tripTime.s"	"tripTime.n"	"Member.Type.mu"	"Member.Type.md"	"Member.Type.s"	"Member.Type.n"
"44"	"Adams Mill & Columbia Rd NW (31104) - Florida Ave & R St NW (31503)"	1027.86885245902	960	291.331434424507	183	1.79234972677596	2	0.406737823713183	183
"45"	"Potomac & Pennsylvania Ave SE (31606) - 14th & D St SE (31607)"	717.441860465116	180	6162.64216152484	258	1.91085271317829	2	0.285510072621765	258
"46"	"14th & R St NW (31202) - McPherson Square - 14th & H St NW (31216)"	559.05737704918	420	1374.61345426699	488	1.93647540983607	2	0.244154400036793	488
"47"	"Columbus Circle / Union Station (31623) - Lincoln Park / 13th & East Capitol St NE  (31619)"	743.062843197071	600	1916.03289800982	1639	1.91641244661379	2	0.27685273894897	1639
"48"	"North Capitol St & F St NW (31624) - 13th & D St NE (31622)"	659.803921568627	600	316.689785821373	306	1.96078431372549	2	0.194425692870608	306
"49"	"New York Ave & 15th St NW (31222) - 21st & I St NW (31205)"	858.920454545455	480	1279.64737594382	352	1.77272727272727	2	0.419666744119874	352
"50"	"14th & G St NW (31238) - 16th & U St NW (31229)"	950.592334494773	840	516.187609220778	287	1.85714285714286	2	0.350538332963918	287
"51"	"Georgia & New Hampshire Ave NW (31400) - 16th & Harvard St NW (31103)"	942.155172413793	660	1478.54515251482	232	1.93965517241379	2	0.238639473533003	232
"52"	"Georgia & New Hampshire Ave NW (31400) - 14th St & Spring Rd NW (31401)"	496.25	300	1597.88453492271	384	1.97395833333333	2	0.159466991872782	384
"53"	"4th & East Capitol St NE (31618) - 3rd & H St NE (31616)"	482.694610778443	360	489.636670011058	334	1.82934131736527	2	0.376774899102973	334
"54"	"S Glebe & Potomac Ave (31010) - 12th & Army Navy Dr (31008)"	787.951807228916	660	532.696222946827	83	1.87951807228916	2	0.327503132044073	83
"55"	"13th St & New York Ave NW (31227) - 21st & I St NW (31205)"	832.432432432432	540	1175.08488507756	333	1.83783783783784	2	0.369154207677379	333
"56"	"16th & Harvard St NW (31103) - 10th & U St NW (31111)"	635.932203389831	480	731.641296601016	354	1.90677966101695	2	0.291152485838749	354
"57"	"11th & Kenyon St NW (31102) - Georgia & New Hampshire Ave NW (31400)"	418.846153846154	360	337.255564866414	416	1.96153846153846	2	0.192539248914519	416
"58"	"14th & Harvard St NW (31105) - 14th & R St NW (31202)"	486.157205240175	420	297.881053175172	458	1.94541484716157	2	0.227417098074889	458
"59"	"21st & M St NW (31212) - 5th St & K St NW (31600)"	958.133333333333	900	505.899199445898	225	1.81333333333333	2	0.390512483795333	225
"60"	"3rd & D St SE (31605) - Lincoln Park / 13th & East Capitol St NE  (31619)"	597.766287487073	420	2325.94333479293	967	1.93174767321613	2	0.25230889583086	967
"61"	"Florida Ave & R St NW (31503) - 7th & T St NW (31109)"	684.696569920844	360	4160.20121871207	379	1.93139841688654	2	0.253109544215837	379
"62"	"Calvert St & Woodley Pl NW (31106) - 16th & Harvard St NW (31103)"	528.591928251121	420	1377.02711333162	1115	1.94708520179372	2	0.223963855817393	1115
"63"	"14th & G St NW (31238) - 19th St & Pennsylvania Ave NW (31100)"	886.442307692308	420	1921.32372759531	208	1.82692307692308	2	0.379226461405451	208
"64"	"15th & P St NW (31201) - 15th & P St NW (31201)"	3762.16783216783	990	9617.03622082163	1144	1.59003496503496	2	0.492042005939811	1144
"65"	"Tenleytown / Wisconsin Ave & Albemarle St NW (31303) - Wisconsin Ave & Macomb St NW (31302)"	600.824175824176	480	1185.18617956372	1820	1.87582417582418	2	0.329872669169342	1820
"66"	"4th & M St SW (31108) - 7th & Water St SW / SW Waterfront (31609)"	1062.95754026354	240	3777.77542140321	683	1.71156661786237	2	0.453365750786976	683
"67"	"Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613) - 4th & East Capitol St NE (31618)"	708.361730013106	360	2206.8853873897	763	1.82961992136304	2	0.376212980978444	763
"68"	"14th & Rhode Island Ave NW (31203) - 5th St & K St NW (31600)"	647.055837563452	540	561.665971499876	394	1.89593908629442	2	0.305727774510349	394
"69"	"Florida Ave & R St NW (31503) - 14th & V St NW (31101)"	922.876254180602	660	2768.41844609685	299	1.89297658862876	2	0.30966127216188	299
"70"	"19th & L St NW (31224) - 14th & V St NW (31101)"	1093.23782234957	720	3685.68995757822	349	1.94269340974212	2	0.232761212767693	349
"71"	"20th St & Florida Ave NW (31110) - 15th & P St NW (31201)"	546.992481203008	480	663.168948965452	1330	1.90225563909774	2	0.297080391947515	1330
"72"	"Massachusetts Ave & Dupont Circle NW (31200) - 14th & V St NW (31101)"	725.015290519878	540	1867.55942332877	1962	1.90774719673802	2	0.289456261616283	1962
"73"	"14th & Rhode Island Ave NW (31203) - Georgia & New Hampshire Ave NW (31400)"	1059.53488372093	960	352.858550947464	129	1.90697674418605	2	0.291597444720357	129
"74"	"14th & D St SE (31607) - 3rd & D St SE (31605)"	738.115942028986	480	4167.19801531839	414	1.94927536231884	2	0.219700338556805	414
"75"	"Massachusetts Ave & Dupont Circle NW (31200) - 15th & P St NW (31201)"	826.56578134651	360	7513.71422092464	3238	1.87615812229771	2	0.329451949887916	3238
"76"	"Lincoln Park / 13th & East Capitol St NE  (31619) - Potomac & Pennsylvania Ave SE (31606)"	450.989010989011	360	269.737410835215	455	1.94945054945055	2	0.21931693437453	455
"77"	"Calvert St & Woodley Pl NW (31106) - 14th & R St NW (31202)"	900	780	437.57647415247	124	1.83870967741935	2	0.369290613614752	124
"78"	"Tenleytown / Wisconsin Ave & Albemarle St NW (31303) - Van Ness Metro / UDC (31300)"	750.743034055728	420	2122.31650656097	646	1.86532507739938	2	0.341640551243365	646
"79"	"14th & V St NW (31101) - Massachusetts Ave & Dupont Circle NW (31200)"	550.16168148747	420	575.783063665585	2474	1.91471301535974	2	0.279364745151142	2474
"80"	"Van Ness Metro / UDC (31300) - Calvert St & Woodley Pl NW (31106)"	1103.72727272727	720	2549.70000793462	440	1.77045454545455	2	0.421019234841895	440
"81"	"North Capitol St & F St NW (31624) - 11th & Kenyon St NW (31102)"	3123.05084745763	1320	13304.8722284211	59	1.83050847457627	2	0.378406020441342	59
"82"	"21st & I St NW (31205) - 16th & U St NW (31229)"	792.040133779264	660	2295.30799718881	897	1.92530657748049	2	0.263042680309257	897
"83"	"7th & T St NW (31109) - 4th & East Capitol St NE (31618)"	1572	1320	755.562898849359	35	1.77142857142857	2	0.426042961498036	35
"84"	"Ward Circle / American University (31301) - Tenleytown / Wisconsin Ave & Albemarle St NW (31303)"	599.046025104603	420	2722.41211655873	1195	1.82845188284519	2	0.377145049809351	1195
"85"	"Columbus Circle / Union Station (31623) - 13th & D St NE (31622)"	585.494505494505	480	1404.18006804523	2548	1.93014128728414	2	0.254958790280883	2548
"86"	"Adams Mill & Columbia Rd NW (31104) - 11th & Kenyon St NW (31102)"	659.055118110236	540	1126.90430000671	635	1.90866141732283	2	0.288317107134015	635
"87"	"Lincoln Park / 13th & East Capitol St NE  (31619) - 14th & D St SE (31607)"	389.113924050633	240	475.838980003062	711	1.93670886075949	2	0.243657282789962	711
"88"	"5th St & K St NW (31600) - 18th & M St NW (31221)"	898.857142857143	780	826.208628130655	210	1.87619047619048	2	0.330151135326939	210
"89"	"20th St & Florida Ave NW (31110) - 7th & T St NW (31109)"	643.746397694524	540	1125.64680145557	347	1.92507204610951	2	0.263655237743785	347
"90"	"Kennedy Center (31211) - 21st & M St NW (31212)"	949.014084507042	540	1256.53850481571	71	1.7887323943662	2	0.411113225896519	71
"91"	"21st & I St NW (31205) - 17th & Corcoran St NW (31214)"	685.88092345079	600	1572.58521341243	823	1.91373025516403	2	0.28093268391431	823
"92"	"Massachusetts Ave & Dupont Circle NW (31200) - 5th St & K St NW (31600)"	1582.13483146067	840	12092.0163423563	534	1.81647940074906	2	0.3874556956417	534
"93"	"New York Ave & 15th St NW (31222) - 17th & Corcoran St NW (31214)"	960	660	1528.10339964284	505	1.85544554455446	2	0.351999742831332	505
"94"	"Adams Mill & Columbia Rd NW (31104) - 14th St & Spring Rd NW (31401)"	968.524590163934	660	3325.70157529006	366	1.94535519125683	2	0.227596758440073	366
"95"	"Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613) - Lincoln Park / 13th & East Capitol St NE  (31619)"	484.269308714254	360	1304.31887007889	4441	1.93875253321324	2	0.239810684075683	4441
"96"	"Eastern Market / 7th & North Carolina Ave SE (31610) - Potomac & Pennsylvania Ave SE (31606)"	556.285714285714	420	1953.87844596205	490	1.96122448979592	2	0.193256800165134	490
"97"	"3rd & D St SE (31605) - 1st & M St NE (31603)"	819.86013986014	720	284.288055695711	143	1.83916083916084	2	0.368673863476323	143
"98"	"18th & M St NW (31221) - 17th & Corcoran St NW (31214)"	692.752613240418	360	5663.82699696233	861	1.96051103368177	2	0.194868396691919	861
"99"	"25th St & Pennsylvania Ave NW (31237) - 21st & M St NW (31212)"	835.905044510386	240	2055.56711477213	674	1.79376854599407	2	0.404899099373369	674
"100"	"20th & E St NW (31204) - 19th St & Pennsylvania Ave NW (31100)"	683.571428571429	240	1309.22717328758	168	1.7797619047619	2	0.415646026828005	168
"101"	"13th St & New York Ave NW (31227) - 14th & R St NW (31202)"	655.955056179775	480	622.221437086068	267	1.93632958801498	2	0.244623410097797	267
"102"	"8th & H St NW (31228) - 13th & D St NE (31622)"	935.481727574751	840	290.958503052134	301	1.93687707641196	2	0.243588891726937	301
"103"	"13th & H St NE (31611) - 13th & D St NE (31622)"	386.47619047619	240	1065.18320031227	315	1.91111111111111	2	0.285036097340281	315
"104"	"10th & U St NW (31111) - 18th & M St NW (31221)"	770.204081632653	720	324.762910397157	294	1.91836734693878	2	0.274271086884467	294
"105"	"5th & F St NW (31620) - 20th & E St NW (31204)"	1054.0350877193	900	728.68259768803	171	1.82456140350877	2	0.381458825973804	171
"106"	"20th St & Florida Ave NW (31110) - 5th St & K St NW (31600)"	1049.16666666667	1020	340.594913504144	144	1.89583333333333	2	0.306542870523083	144
"107"	"16th & U St NW (31229) - 17th & Corcoran St NW (31214)"	336.175790285274	180	1321.62831897564	1297	1.95451040863531	2	0.208455730914611	1297
"108"	"10th & U St NW (31111) - 14th & Rhode Island Ave NW (31203)"	535.372340425532	360	755.875605122308	752	1.93218085106383	2	0.251602648400405	752
"109"	"Lamont & Mt Pleasant NW (31107) - 3rd & H St NE (31616)"	1560	1500	393.954312071844	10	1.9	2	0.316227766016838	10
"110"	"Ward Circle / American University (31301) - 36th & Calvert St NW / Glover Park (31304)"	792.142857142857	720	412.807160699426	168	1.85714285714286	2	0.350973228344474	168
"111"	"15th & P St NW (31201) - 10th & U St NW (31111)"	545.744125326371	480	548.902999094896	1149	1.93385552654482	2	0.248642691765659	1149
"112"	"Calvert St & Woodley Pl NW (31106) - 14th & V St NW (31101)"	879.140186915888	600	2322.75891929506	535	1.83177570093458	2	0.374415432224488	535
"113"	"Lamont & Mt Pleasant NW (31107) - 15th & P St NW (31201)"	745.762711864407	660	516.876625003391	531	1.94350282485876	2	0.231096993219349	531
"114"	"14th & G St NW (31238) - 15th & P St NW (31201)"	774.516129032258	570	1508.77149269003	558	1.8494623655914	2	0.357918475391186	558
"115"	"White House [17th & State Pl NW] (31210) - 18th & M St NW (31221)"	501	540	170.0123834499	20	1.95	2	0.223606797749979	20
"116"	"15th & P St NW (31201) - 7th & T St NW (31109)"	607.533632286995	540	607.167309278914	669	1.87742899850523	2	0.328189503360348	669
"117"	"12th & Army Navy Dr (31008) - S Glebe & Potomac Ave (31010)"	807.540983606557	720	296.494270533203	61	1.91803278688525	2	0.27659127289276	61
"118"	"17th & K St NW [formerly 17th & L St NW] (31213) - 8th & H St NW (31228)"	1477.79005524862	660	4469.24604374926	362	1.79005524861878	2	0.407832589136584	362
"119"	"14th & V St NW (31101) - New York Ave & 15th St NW (31222)"	837.631578947368	660	768.154881488938	380	1.85526315789474	2	0.352299171572675	380
"120"	"16th & U St NW (31229) - 14th & R St NW (31202)"	621.636828644501	300	1392.33998982129	391	1.92071611253197	2	0.270527497481433	391
"121"	"19th St & Pennsylvania Ave NW (31100) - 16th & U St NW (31229)"	741.538461538462	660	377.451521720436	312	1.91025641025641	2	0.286273201012495	312
"122"	"4th St & Massachusetts Ave NW (31604) - 13th St & New York Ave NW (31227)"	680.762942779292	420	2015.27214556732	367	1.88555858310627	2	0.318781236508518	367
"123"	"Columbus Circle / Union Station (31623) - 14th & Rhode Island Ave NW (31203)"	1263.12796208531	1080	950.672783185986	211	1.74881516587678	2	0.434725988090523	211
"124"	"Columbus Circle / Union Station (31623) - 3rd & D St SE (31605)"	832.464454976303	540	1757.84163255418	844	1.88981042654028	2	0.313311569500291	844
"125"	"Massachusetts Ave & Dupont Circle NW (31200) - Van Ness Metro / UDC (31300)"	5566.1320754717	1380	57318.682943279	212	1.72169811320755	2	0.449223599203928	212
"126"	"4th & East Capitol St NE (31618) - 13th & H St NE (31611)"	705.148514851485	600	387.774909991194	202	1.83168316831683	2	0.375076958755022	202
"127"	"Columbus Circle / Union Station (31623) - Florida Ave & R St NW (31503)"	862.105263157895	720	860.904061679247	152	1.86842105263158	2	0.339149901927883	152
"128"	"19th & L St NW (31224) - 21st & M St NW (31212)"	1001.71428571429	240	2104.51256202437	210	1.75714285714286	2	0.429834093477056	210
"129"	"North Capitol St & F St NW (31624) - 5th St & K St NW (31600)"	523.885267275098	360	3226.19678886777	767	1.92307692307692	2	0.266643233890444	767
"130"	"North Capitol St & F St NW (31624) - Lamont & Mt Pleasant NW (31107)"	4482.63157894737	1560	12275.3139849115	38	1.81578947368421	2	0.392859452063192	38
"131"	"Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613) - 13th & D St NE (31622)"	622.964601769911	480	1722.6103584395	1808	1.9087389380531	2	0.288059673745728	1808
"132"	"20th & E St NW (31204) - 14th & Rhode Island Ave NW (31203)"	858.202247191011	780	356.64019690918	178	1.84269662921348	2	0.36511360060193	178
"133"	"11th & Kenyon St NW (31102) - 15th & P St NW (31201)"	758.126272912424	660	601.490455199482	491	1.90631364562118	2	0.291689056200768	491
"134"	"13th St & New York Ave NW (31227) - 15th & P St NW (31201)"	821.694915254237	540	2543.86118332115	590	1.9135593220339	2	0.281252128228066	590
"135"	"11th & Kenyon St NW (31102) - 8th & H St NW (31228)"	1097.66423357664	840	3205.80789926439	411	1.9294403892944	2	0.256399893884998	411
"136"	"19th St & Pennsylvania Ave NW (31100) - Massachusetts Ave & Dupont Circle NW (31200)"	721.497797356828	480	987.661879692682	681	1.80323054331865	2	0.397848797772801	681
"137"	"15th & P St NW (31201) - Eckington Pl & Q St NE (31505)"	953.265306122449	900	791.891957808289	196	1.89795918367347	2	0.303477145453597	196
"138"	"13th & H St NE (31611) - Florida Ave & R St NW (31503)"	944.571428571429	840	814.482216373186	175	1.89714285714286	2	0.304643860554253	175
"139"	"McPherson Square - 14th & H St NW (31216) - 14th & R St NW (31202)"	651.017964071856	480	1185.02601166598	334	1.9251497005988	2	0.263544461577432	334
"140"	"13th & H St NE (31611) - 4th St & Massachusetts Ave NW (31604)"	808.46511627907	780	271.927985659653	215	1.84186046511628	2	0.365723299559796	215
"141"	"16th & Harvard St NW (31103) - 15th & P St NW (31201)"	652.539267015707	540	800.880473720895	764	1.9044502617801	2	0.294165343235972	764
"142"	"L'Enfant Plaza / 7th & C St SW (31218) - Eastern Market / 7th & North Carolina Ave SE (31610)"	1297.2972972973	900	2697.70338066672	148	1.79054054054054	2	0.408304581162574	148
"143"	"14th & Rhode Island Ave NW (31203) - Convention Center / 7th & M St NW (31223)"	560.78541374474	360	1861.56435670889	713	1.85133239831697	2	0.356010261777676	713
"144"	"Park Rd & Holmead Pl NW (31602) - 21st & M St NW (31212)"	995.95818815331	900	458.416671162277	287	1.93728222996516	2	0.242878139603192	287
"145"	"North Capitol St & F St NW (31624) - 13th & H St NE (31611)"	852.321428571429	660	1051.44760096226	336	1.91666666666667	2	0.276797607328686	336
"146"	"15th & P St NW (31201) - McPherson Square - 14th & H St NW (31216)"	683.684210526316	480	1660.43964872332	494	1.88663967611336	2	0.317354115475482	494
"147"	"North Capitol St & F St NW (31624) - M St & New Jersey Ave SE (31208)"	1171.97604790419	780	4101.83447639126	167	1.84431137724551	2	0.36365030044585	167
"148"	"37th & O St NW / Georgetown University (31236) - Kennedy Center (31211)"	1153.4693877551	900	620.435166571309	49	1.61224489795918	2	0.492287455431794	49
"149"	"18th & M St NW (31221) - 19th St & Pennsylvania Ave NW (31100)"	394.750542299349	240	746.786297806874	461	1.92407809110629	2	0.26516087483016	461
"150"	"14th & G St NW (31238) - 25th St & Pennsylvania Ave NW (31237)"	1388.95161290323	720	1713.09853445222	248	1.66129032258065	2	0.47422806270035	248
"151"	"Connecticut Ave & Newark St NW / Cleveland Park (31305) - 36th & Calvert St NW / Glover Park (31304)"	1087.82608695652	840	658.542890518645	92	1.69565217391304	2	0.462651945572992	92
"152"	"8th & H St NW (31228) - 7th & T St NW (31109)"	865.010526315789	540	3041.22743199812	475	1.92	2	0.271579222809116	475
"153"	"17th & K St NW [formerly 17th & L St NW] (31213) - 14th & R St NW (31202)"	702.677824267782	540	834.590137904638	239	1.88702928870293	2	0.317221331388902	239
"154"	"21st & I St NW (31205) - 21st & M St NW (31212)"	696.835443037975	240	2656.7093458447	790	1.89240506329114	2	0.310064448878758	790
"155"	"19th St & Pennsylvania Ave NW (31100) - New York Ave & 15th St NW (31222)"	924.615384615385	360	2135.37687558715	234	1.7008547008547	2	0.458865128622083	234
"156"	"15th & P St NW (31201) - Florida Ave & R St NW (31503)"	739.822222222222	660	915.391614616816	675	1.86222222222222	2	0.344922187644082	675
"157"	"Adams Mill & Columbia Rd NW (31104) - 14th & Harvard St NW (31105)"	440.305010893246	360	1031.4528418887	1377	1.92084241103849	2	0.270082651544139	1377
"158"	"17th & K St NW [formerly 17th & L St NW] (31213) - 14th & Rhode Island Ave NW (31203)"	702.894168466523	360	2517.36777674766	463	1.91576673866091	2	0.278037739223319	463
"159"	"North Capitol St & F St NW (31624) - Columbus Circle / Union Station (31623)"	2810.16949152542	480	12826.9801091726	177	1.69491525423729	2	0.461749536895062	177
"160"	"16th & U St NW (31229) - 18th & M St NW (31221)"	533.151750972763	420	539.055259732832	771	1.95460440985733	2	0.208305327677833	771
"161"	"21st & I St NW (31205) - Georgia Ave and Fairmont St NW (31207)"	2937.96610169492	1380	11834.5156770007	59	1.96610169491525	2	0.182520824972938	59
"162"	"12th & Army Navy Dr (31008) - 12th & Army Navy Dr (31008)"	4385.16393442623	1860	11910.3833894339	244	1.44672131147541	1	0.498175176394035	244
"163"	"21st & I St NW (31205) - 21st & I St NW (31205)"	3613.6676217765	2220	5773.4286926104	1396	1.42836676217765	1	0.495019406026152	1396
"164"	"13th St & New York Ave NW (31227) - Connecticut Ave & Newark St NW / Cleveland Park (31305)"	3192	1620	7911.97712768215	30	1.63333333333333	2	0.490132517853561	30
"165"	"Calvert St & Woodley Pl NW (31106) - 11th & Kenyon St NW (31102)"	753.451327433628	720	270.101131328031	339	1.91445427728614	2	0.280105506544837	339
"166"	"New York Ave & 15th St NW (31222) - 8th & H St NW (31228)"	868.846153846154	420	1647.67108368145	676	1.72633136094675	2	0.446171038081184	676
"167"	"14th & V St NW (31101) - Adams Mill & Columbia Rd NW (31104)"	766.193771626298	480	2638.90129515607	578	1.88235294117647	2	0.322468812727643	578
"168"	"Park Rd & Holmead Pl NW (31602) - 16th & Harvard St NW (31103)"	434.077448747153	360	323.247651524814	439	1.94760820045558	2	0.223070051708266	439
"169"	"Convention Center / 7th & M St NW (31223) - 5th St & K St NW (31600)"	580.344827586207	240	1736.81813839213	464	1.91810344827586	2	0.274503010697974	464
"170"	"Calvert St & Woodley Pl NW (31106) - 14th & Harvard St NW (31105)"	714.300791556728	540	2016.13025733876	758	1.92480211081794	2	0.263884507774441	758
"171"	"4th & East Capitol St NE (31618) - 4th & East Capitol St NE (31618)"	2901.31699846861	1200	5753.83084809581	653	1.55436447166922	2	0.497416733568505	653
"172"	"3rd & H St NE (31616) - Eastern Market / 7th & North Carolina Ave SE (31610)"	841.366459627329	600	2823.39437650194	483	1.88819875776398	2	0.315448481761692	483
"173"	"15th & P St NW (31201) - 14th & Harvard St NW (31105)"	766.609442060086	660	329.043066496744	466	1.88841201716738	2	0.315197241175307	466
"174"	"New York Ave & 15th St NW (31222) - 19th St & Pennsylvania Ave NW (31100)"	805.615384615385	300	1886.5582250336	260	1.73846153846154	2	0.440320103881022	260
"175"	"21st & I St NW (31205) - 17th & K St NW [formerly 17th & L St NW] (31213)"	467.777777777778	360	763.583505659298	378	1.92592592592593	2	0.262238506490324	378
"176"	"21st & I St NW (31205) - 15th & P St NW (31201)"	853.333333333333	660	1093.11736127903	558	1.85125448028674	2	0.356156728919162	558
